episode,timestamp,epsilon,win_rate,loss_rate,draw_rate,avg_reward,avg_moves,q_table_size
44700,2026-01-15T21:40:52.659608,0.01,85.18120805369126,7.977628635346756,6.841163310961969,0.84,6.51,2447.0
44800,2026-01-15T21:40:52.680637,0.01,85.17857142857143,7.9799107142857135,6.841517857142858,0.75,6.75,2450.0
44900,2026-01-15T21:40:52.744966,0.01,85.18708240534522,7.9755011135857465,6.837416481069042,0.83,6.42,2451.0
45000,2026-01-15T21:40:52.765647,0.01,85.2,7.964444444444445,6.835555555555556,0.88,6.6,2451.0
45100,2026-01-15T21:40:52.785990,0.01,85.1951219512195,7.9689578713968965,6.835920177383592,0.73,6.56,2452.0
45200,2026-01-15T21:40:52.807436,0.01,85.21017699115045,7.957964601769911,6.831858407079645,0.89,6.38,2453.0
45300,2026-01-15T21:40:52.829320,0.01,85.21412803532009,7.949227373068432,6.8366445916114795,0.83,6.73,2455.0
45400,2026-01-15T21:40:52.850933,0.01,85.22466960352423,7.93612334801762,6.8392070484581495,0.88,6.42,2456.0
45500,2026-01-15T21:40:52.871462,0.01,85.21978021978022,7.9362637362637365,6.843956043956044,0.75,6.55,2457.0
45600,2026-01-15T21:40:52.892944,0.01,85.22149122807018,7.93859649122807,6.839912280701754,0.77,6.65,2461.0
45700,2026-01-15T21:40:52.914140,0.01,85.22757111597375,7.929978118161926,6.842450765864333,0.84,6.59,2464.0
45800,2026-01-15T21:40:52.935469,0.01,85.23144104803494,7.921397379912663,6.847161572052402,0.83,6.5,2465.0
45900,2026-01-15T21:40:52.958156,0.01,85.23311546840958,7.917211328976034,6.849673202614379,0.8,6.73,2468.0
46000,2026-01-15T21:40:52.978281,0.01,85.24130434782609,7.908695652173912,6.8500000000000005,0.85,6.64,2468.0
46100,2026-01-15T21:40:52.998378,0.01,85.24945770065075,7.900216919739695,6.850325379609544,0.85,6.39,2470.0
